Service PCN,NSN,COVID Critical Status,COVID Core Status,FSC,NIIN,Description,LoB,Sub-LoB,CITS Channel,Oracle Channel,NPA Code,NPA Name,CITS Customer,Oracle Customer,Contract Number,Prime/Non-Prime,Sales,Quantity,FY,Month,FYP,MONTHP,OP Description,OP Grouping,JS Grouping,Textile Grouping,Textile PGC,WI Category,WI Sub-Category,WI Point Size,WI Color,Marketing Main Category,Marketing Sub Category
,6545-01-465-1846,COVID-19 Critical,Non COVID-19 Core,6545,01-465-1846,First Aid Kit - 8 Person,Commodity,C-Medical,Commercial Distributors,Oracle Channel N/A,OKO,"NEWVIEW OKLAHOMA, INC",WECsys,Oracle Customer N/A,NON-Contract Data,NON-Contract Data,983.2,,2016,Jun,2016,Jun,NON OP Product,NON OP Group,First Aid,NON Textile Product,NON Textile Product,NON WI Product,NON WI Product,NON WI Product,NON WI Product,Safety Supplies,First Aid Kits
,6545-01-465-1846,COVID-19 Critical,Non COVID-19 Core,6545,01-465-1846,First Aid Kit - 8 Person,Commodity,C-Medical,Commercial Distributors,Oracle Channel N/A,OKO,"NEWVIEW OKLAHOMA, INC",MSC Industrial Supply Co.,Oracle Customer N/A,NON-Contract Data,NON-Contract Data,5899.2,,2016,Oct,2016,Oct,NON OP Product,NON OP Group,First Aid,NON Textile Product,NON Textile Product,NON WI Product,NON WI Product,NON WI Product,NON WI Product,Safety Supplies,First Aid Kits
,6545-01-465-1846,COVID-19 Critical,Non COVID-19 Core,6545,01-465-1846,First Aid Kit - 8 Person,Commodity,C-Medical,Commercial Distributors,Oracle Channel N/A,OKO,"NEWVIEW OKLAHOMA, INC",MSC Industrial Supply Co.,Oracle Customer N/A,NON-Contract Data,NON-Contract Data,491.6,,2016,Jul,2016,Jul,NON OP Product,NON OP Group,First Aid,NON Textile Product,NON Textile Product,NON WI Product,NON WI Product,NON WI Product,NON WI Product,Safety Supplies,First Aid Kits
,6545-01-465-1846,COVID-19 Critical,Non COVID-19 Core,6545,01-465-1846,First Aid Kit - 8 Person,Commodity,C-Medical,BSC Stock,Oracle Channel N/A,OKO,"NEWVIEW OKLAHOMA, INC",MDB-Baltimore (BSC Operator),Oracle Customer N/A,NON-Contract Data,NON-Contract Data,1229.0,,2016,Jun,2016,Jun,NON OP Product,NON OP Group,First Aid,NON Textile Product,NON Textile Product,NON WI Product,NON WI Product,NON WI Product,NON WI Product,Safety Supplies,First Aid Kits
,6545-01-465-1846,COVID-19 Critical,Non COVID-19 Core,6545,01-465-1846,First Aid Kit - 8 Person,Commodity,C-Medical,Commercial Wholesalers,Oracle Channel N/A,OKO,"NEWVIEW OKLAHOMA, INC",LC Industries,Oracle Customer N/A,NON-Contract Data,NON-Contract Data,6651.6,,2016,Sep,2016,Sep,NON OP Product,NON OP Group,First Aid,NON Textile Product,NON Textile Product,NON WI Product,NON WI Product,NON WI Product,NON WI Product,Safety Supplies,First Aid Kits
,6545-01-465-1846,COVID-19 Critical,Non COVID-19 Core,6545,01-465-1846,First Aid Kit - 8 Person,Commodity,C-Medical,Commercial Wholesalers,Oracle Channel N/A,OKO,"NEWVIEW OKLAHOMA, INC",LC Industries,Oracle Customer N/A,NON-Contract Data,NON-Contract Data,1966.4,,2016,Oct,2016,Oct,NON OP Product,NON OP Group,First Aid,NON Textile Product,NON Textile Product,NON WI Product,NON WI Product,NON WI Product,NON WI Product,Safety Supplies,First Aid Kits
,6545-01-465-1846,COVID-19 Critical,Non COVID-19 Core,6545,01-465-1846,First Aid Kit - 8 Person,Commodity,C-Medical,Commercial Wholesalers,Oracle Channel N/A,OKO,"NEWVIEW OKLAHOMA, INC",LC Industries,Oracle Customer N/A,NON-Contract Data,NON-Contract Data,3244.56,,2016,May,2016,May,NON OP Product,NON OP Group,First Aid,NON Textile Product,NON Textile Product,NON WI Product,NON WI Product,NON WI Product,NON WI Product,Safety Supplies,First Aid Kits
,6545-01-465-1846,COVID-19 Critical,Non COVID-19 Core,6545,01-465-1846,First Aid Kit - 8 Person,Commodity,C-Medical,Commercial Wholesalers,Oracle Channel N/A,OKO,"NEWVIEW OKLAHOMA, INC",LC Industries,Oracle Customer N/A,NON-Contract Data,NON-Contract Data,344.12,,2016,Mar,2016,Mar,NON OP Product,NON OP Group,First Aid,NON Textile Product,NON Textile Product,NON WI Product,NON WI Product,NON WI Product,NON WI Product,Safety Supplies,First Aid Kits
,6545-01-465-1846,COVID-19 Critical,Non COVID-19 Core,6545,01-465-1846,First Aid Kit - 8 Person,Commodity,C-Medical,Commercial Wholesalers,Oracle Channel N/A,OKO,"NEWVIEW OKLAHOMA, INC",LC Industries,Oracle Customer N/A,NON-Contract Data,NON-Contract Data,4866.839999999999,,2016,Jun,2016,Jun,NON OP Product,NON OP Group,First Aid,NON Textile Product,NON Textile Product,NON WI Product,NON WI Product,NON WI Product,NON WI Product,Safety Supplies,First Aid Kits
,6545-01-465-1846,COVID-19 Critical,Non COVID-19 Core,6545,01-465-1846,First Aid Kit - 8 Person,Commodity,C-Medical,Commercial Wholesalers,Oracle Channel N/A,OKO,"NEWVIEW OKLAHOMA, INC",LC Industries,Oracle Customer N/A,NON-Contract Data,NON-Contract Data,835.7199999999999,,2016,Jul,2016,Jul,NON OP Product,NON OP Group,First Aid,NON Textile Product,NON Textile Product,NON WI Product,NON WI Product,NON WI Product,NON WI Product,Safety Supplies,First Aid Kits
,6545-01-465-1846,COVID-19 Critical,Non COVID-19 Core,6545,01-465-1846,First Aid Kit - 8 Person,Commodity,C-Medical,Commercial Wholesalers,Oracle Channel N/A,OKO,"NEWVIEW OKLAHOMA, INC",LC Industries,Oracle Customer N/A,NON-Contract Data,NON-Contract Data,2458.0,,2016,Jan,2016,Jan,NON OP Product,NON OP Group,First Aid,NON Textile Product,NON Textile Product,NON WI Product,NON WI Product,NON WI Product,NON WI Product,Safety Supplies,First Aid Kits
,6545-01-465-1846,COVID-19 Critical,Non COVID-19 Core,6545,01-465-1846,First Aid Kit - 8 Person,Commodity,C-Medical,Commercial Wholesalers,Oracle Channel N/A,OKO,"NEWVIEW OKLAHOMA, INC",LC Industries,Oracle Customer N/A,NON-Contract Data,NON-Contract Data,1868.08,,2016,Feb,2016,Feb,NON OP Product,NON OP Group,First Aid,NON Textile Product,NON Textile Product,NON WI Product,NON WI Product,NON WI Product,NON WI Product,Safety Supplies,First Aid Kits
,6545-01-465-1846,COVID-19 Critical,Non COVID-19 Core,6545,01-465-1846,First Aid Kit - 8 Person,Commodity,C-Medical,Commercial Wholesalers,Oracle Channel N/A,OKO,"NEWVIEW OKLAHOMA, INC",LC Industries,Oracle Customer N/A,NON-Contract Data,NON-Contract Data,1573.12,,2016,Dec,2016,Dec,NON OP Product,NON OP Group,First Aid,NON Textile Product,NON Textile Product,NON WI Product,NON WI Product,NON WI Product,NON WI Product,Safety Supplies,First Aid Kits
,6545-01-465-1846,COVID-19 Critical,Non COVID-19 Core,6545,01-465-1846,First Aid Kit - 8 Person,Commodity,C-Medical,Commercial Wholesalers,Oracle Channel N/A,OKO,"NEWVIEW OKLAHOMA, INC",LC Industries,Oracle Customer N/A,NON-Contract Data,NON-Contract Data,-75.84,,2016,Aug,2016,Sep,NON OP Product,NON OP Group,First Aid,NON Textile Product,NON Textile Product,NON WI Product,NON WI Product,NON WI Product,NON WI Product,Safety Supplies,First Aid Kits
,6545-01-465-1846,COVID-19 Critical,Non COVID-19 Core,6545,01-465-1846,First Aid Kit - 8 Person,Commodity,C-Medical,Commercial Wholesalers,Oracle Channel N/A,OKO,"NEWVIEW OKLAHOMA, INC",LC Industries,Oracle Customer N/A,NON-Contract Data,NON-Contract Data,3883.64,,2016,Aug,2016,Aug,NON OP Product,NON OP Group,First Aid,NON Textile Product,NON Textile Product,NON WI Product,NON WI Product,NON WI Product,NON WI Product,Safety Supplies,First Aid Kits
